,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
0,2,0,1,2,Meal Plan 1,0,Room_Type 1,224,10,2,Offline,0,0,0,65.0,0,Not_Canceled
1,2,0,2,3,Not Selected,0,Room_Type 1,5,11,6,Online,0,0,0,106.68,1,Not_Canceled
2,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2,28,Online,0,0,0,60.0,0,Canceled
3,2,0,0,2,Meal Plan 1,0,Room_Type 1,211,5,20,Online,0,0,0,100.0,0,Canceled
4,2,0,1,1,Not Selected,0,Room_Type 1,48,4,11,Online,0,0,0,94.5,0,Canceled
5,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,9,13,Online,0,0,0,115.0,1,Canceled
6,2,0,1,3,Meal Plan 1,0,Room_Type 1,34,10,15,Online,0,0,0,107.55,1,Not_Canceled
7,2,0,1,3,Meal Plan 1,0,Room_Type 4,83,12,26,Online,0,0,0,105.61,1,Not_Canceled
8,3,0,0,4,Meal Plan 1,0,Room_Type 1,121,7,6,Offline,0,0,0,96.9,1,Not_Canceled
9,2,0,0,5,Meal Plan 1,0,Room_Type 4,44,10,18,Online,0,0,0,133.44,3,Not_Canceled
10,1,0,1,0,Not Selected,0,Room_Type 1,0,9,11,Online,0,0,0,85.03,0,Not_Canceled
11,1,0,2,1,Meal Plan 1,0,Room_Type 4,35,4,30,Online,0,0,0,140.4,1,Not_Canceled
12,2,0,2,1,Not Selected,0,Room_Type 1,30,11,26,Online,0,0,0,88.0,0,Canceled
13,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,11,20,Online,0,0,0,90.0,2,Canceled
14,2,0,0,2,Meal Plan 1,0,Room_Type 1,47,10,20,Online,0,0,0,94.5,2,Not_Canceled
15,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,6,15,Online,0,0,0,115.0,1,Canceled
16,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,10,5,Offline,0,0,0,96.0,0,Not_Canceled
17,2,0,1,3,Not Selected,0,Room_Type 1,1,8,10,Online,0,0,0,96.0,1,Not_Canceled
18,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,10,30,Online,0,0,0,65.0,0,Canceled
19,2,0,1,0,Meal Plan 1,0,Room_Type 1,12,10,4,Offline,0,0,0,72.0,0,Not_Canceled
20,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,10,30,Online,0,0,0,65.0,0,Canceled
21,1,0,0,1,Meal Plan 1,0,Room_Type 1,122,11,25,Corporate,0,0,0,67.0,0,Not_Canceled
22,2,0,2,4,Meal Plan 1,0,Room_Type 1,2,3,20,Offline,0,0,0,85.0,0,Not_Canceled
23,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,10,13,Offline,0,0,0,105.0,0,Not_Canceled
24,2,0,2,1,Not Selected,0,Room_Type 1,130,5,22,Online,0,0,0,94.5,1,Not_Canceled
25,2,0,0,2,Meal Plan 1,0,Room_Type 1,99,4,28,Online,0,0,0,114.3,1,Not_Canceled
26,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,9,21,Offline,0,0,0,65.0,0,Not_Canceled
27,1,0,0,2,Meal Plan 1,0,Room_Type 4,2,5,19,Aviation,0,0,0,110.0,0,Canceled
28,1,0,1,2,Meal Plan 1,0,Room_Type 1,37,11,6,Online,0,0,0,37.33,0,Canceled
29,2,0,0,2,Meal Plan 2,0,Room_Type 1,56,9,17,Offline,0,0,0,82.0,0,Not_Canceled
30,2,0,1,1,Meal Plan 1,0,Room_Type 4,3,9,19,Online,0,0,0,177.5,1,Not_Canceled
31,2,0,2,2,Meal Plan 1,0,Room_Type 1,107,11,13,Online,0,0,0,87.5,1,Not_Canceled
32,0,2,0,3,Meal Plan 1,0,Room_Type 2,56,12,7,Online,0,0,0,82.44,1,Not_Canceled
33,2,0,0,1,Not Selected,0,Room_Type 1,2,1,9,Online,0,0,0,69.5,1,Not_Canceled
34,2,0,0,2,Meal Plan 1,0,Room_Type 1,72,10,7,Offline,0,0,0,85.5,0,Not_Canceled
35,2,0,0,1,Not Selected,1,Room_Type 1,23,4,27,Online,0,0,0,115.0,1,Not_Canceled
36,1,0,2,1,Meal Plan 1,0,Room_Type 1,34,6,19,Online,0,0,0,81.0,0,Canceled
37,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,10,17,Offline,0,0,0,67.0,0,Not_Canceled
38,2,0,2,3,Not Selected,0,Room_Type 1,247,11,19,Online,0,0,0,63.75,0,Canceled
39,2,0,2,1,Meal Plan 1,0,Room_Type 4,186,7,30,Online,0,0,0,121.8,1,Canceled
40,2,0,0,4,Meal Plan 1,0,Room_Type 1,64,11,1,Online,0,0,0,93.6,2,Not_Canceled
41,2,0,0,2,Meal Plan 1,0,Room_Type 1,35,6,21,Online,0,0,0,102.0,1,Not_Canceled
42,3,0,2,1,Meal Plan 1,0,Room_Type 1,96,4,10,Online,0,0,0,121.8,1,Not_Canceled
