,name,city,date,review
3081,Олег,Москва,2022-01-14,Получил карту москвича.карта не была активирована в надлежащие сроки обращался в офис банка там проблему не решили.карта по прежнему заблокирована как банковская.
422,АЛЕКСЕЙ,Анапа,2021-01-19,"Меня зовут Б-а Алексей Алексеевич я получил карту банка и полностью ""удивился"" от глупости и абсурда который возможен в этом мире. Кафка и крот, не меньше.Самый криповый банк который можно себе вообразить и вот почему:

​

1. СБП (система быстрых платежей) если у вас нет постоянной регистрации в этом банке вы ей не воспользуетесь. Это самое бредовое что можно себе вообразить.

Поддержка не помогла , и по телефону не помогли и в офисе не помогут. ( Фото прилагаю)

​

2. Если вы получили карту и не можете ее активировать онлайн. Не верьте что это супер редки сбой, у них это система . Вам придется звонить и активировать ее через оператора.

​

3. Попробуйте отключить СМС оповещение в приложении. Не выходит? Что то пошло не так?? Не ведитесь , это продуманная система и вам снова придется звонить.

​

4 Говорят что карта бесплатная, что якобы 500 руб вернётся . Да да, сказки венского леса. Они вернуться на бонусный счёт, которым можно воспользоваться только когда накопите 1500 бонусов .

​

Я полностью разочеравался в банке. Проблемы которые возникли по их вине решать не стремятся и оставляют тебя наедине с ними. 

​

Меня сильно подставило отсутствие системы быстрых платежей. В суд мало подать за этот бред."
4936,Севиль,Москва,2023-07-10,"Здравствуйте! Хочу выразить искреннюю благодарность сотруднику Оксане из города Курган. Ее идентификатор 519088.Отзывчивая, коммуникативная, высший пилотаж.Работает не покладая рук,заглядение. Разбирается в системе своего профиля. быстро принимает решения, оперативного подсказывает, не оставит человека в неразрешимых ситуациях.Многогранная, талантливая.Вам повезло руководители , что у вас есть такой сотрудник на линии. Желаю повышения и всего самого теплого и приятного неожиданного.ЛУЧШАЯ. Всем рассказала про такого умного сотрудника Мама моя довольна.ГОРДИТЕСЬ!!

С уважением Севиль Б. клиент Тинькофф."
3086,Пользователь,Чехов,2022-01-04,"Были сняты деньги со счета овердрафт. Поехал в отделение банк отстоял очередь 47мин . Прошу дать подтверждения , не могут . Не видят . Надо ждать начальника . Когда будет . Не знаем . Так что потратив вместе с поездкой около 2 часов . Не получил ответа . Ушёл не Счет"
3564,Михаил,Москва,2019-12-11,"Банк ВТБ активно рекламирует услугу ""Кредитные каникулы"".

Рекламное сообщение глосит: Отложите платеж по кредиту, устройте себе кредитные каникулы и позвольте себе больше.

​

Первым пунктом значится: Без дополнительных плат.

На деле с клиента списываются проценты за пользованием кредитом и срок кредитного договора продлевается на больший срок, чем сами кредитные каникулы.

​

Когда услышал все условия, сразу отказался. Но банк ""по техническим причинам"" меня автоматически подписал на эту услугу. 

Это менеджеры так KPI выполняют!"
4178,Николай,Нижний Новгород,2023-07-13,"Был в отделении на Проспекте Ленина и очень понраивлось обслуживание. Внутри ремонт хороший, людей не много, следовательно в очереди я не стоял. Сотрудница ко мне сама подошла, узнала причину моего обращения и выдала мне кредитку год без %. Так же объяснила мне как ее активировать праивльно, какие преимущества моей карточки и даже с приложениемй помогла, чтоб кешбеки смог отслеживать. Комплексный и индивидуальный подход понравился, очень рекомендую к посещению)"
2188,Geikasa,Москва,2022-06-24,"Искала куда денежки положить на сохранение, и открыла в ГПБ накопительный счет. Обычный, без всяких там добавочных финтифлюшек. Процент у меня самый обычный - 8%. Не скажу, что высокий, но все равно ставка более менее норм. Сам счет просто открывается через приложение. Переводишь деньги и забываешь про него до того момента, пока снова туда не закинешь какую-то сумму. К тому же можно со счета снимать деньги в любое время."
6042,Екатерина,Ростов-на-Дону,2022-11-03,"Мошенники!!!Сняли детские пособия ,которые приходят под кодом!!!В счёт погашения кредита ,письменного согласия я не Давала,поэтому никакого право не имеют трогать пособия детей!!!Не первый раз не приятная ситуация с этим банком.Буду обращаться в прокуратуру!!"
1280,Виктор,Сочи,2023-06-22,"Очень понравились доброжелательные, компитентные сотрудники отделения лазаревской. 
Помогли разобраться в программе амбассадором"
5114,Гаврилова,Тольятти,2023-06-08,"Очень хорошо что можно оплачивать все через приложение, особенно носить долг досрочно !!! Тем самым уменьшая сумму и проценты по кредиту!!! Самый лучший банк!

Оставила заявки в несколько банков , Тинькофф откликнулись первыми и предложили выгодные условия по автокредиту, быстро все оформили, спасибо ТИНЬКОФФ"
