,time,time_type,square,rooms,floor,max_floor,price
0,16,bus,27.0,квартира-студия,8,14,39000
1,24,bus,34.0,квартира-студия,10,16,31000
2,15,ped,20.0,квартира-студия,21,32,44000
3,9,bus,16.0,квартира-студия,2,6,38000
4,3,ped,20.0,апартаменты-студия,12,16,39000
5,25,bus,27.0,квартира-студия,4,17,22000
6,17,ped,14.0,апартаменты-студия,2,3,32000
7,10,ped,28.0,квартира-студия,11,15,35500
8,16,ped,15.0,квартира-студия,1,17,30000
9,9,ped,20.0,квартира-студия,4,25,37000
10,20,bus,19.0,квартира-студия,15,23,31000
11,21,ped,30.0,квартира-студия,12,17,44000
12,42,bus,30.0,апартаменты-студия,4,0,32000
13,7,bus,16.0,апартаменты-студия,1,10,39000
14,33,bus,29.0,квартира-студия,4,7,26500
15,8,ped,31.0,квартира-студия,18,30,41000
16,15,ped,14.0,апартаменты-студия,2,22,56500
17,16,bus,30.0,квартира-студия,19,20,35500
18,12,ped,49.0,апартаменты-студия,6,9,77500
19,15,ped,20.0,квартира-студия,23,32,46000
20,3,ped,23.0,апартаменты-студия,6,6,52500
21,11,bus,20.0,квартира-студия,1,17,28000
22,10,ped,26.0,квартира-студия,3,5,65000
23,14,ped,22.0,квартира-студия,3,15,34500
24,13,ped,30.0,апартаменты-студия,3,20,92000
25,10,ped,42.0,апартаменты-студия,10,24,70200
26,5,ped,32.0,квартира-студия,3,9,90000
27,15,bus,29.8,квартира-студия,2,9,47000
28,14,ped,19.6,квартира-студия,5,23,30000
29,2,ped,48.0,апартаменты-студия,74,95,183000
30,14,bus,24.0,квартира-студия,9,9,32000
31,11,ped,14.0,апартаменты-студия,1,5,37000
32,14,ped,18.0,апартаменты-студия,4,4,60000
33,4,ped,23.0,квартира-студия,25,30,44000
34,16,ped,22.0,квартира-студия,7,14,49500
35,15,ped,20.0,квартира-студия,21,32,44000
36,10,ped,25.0,апартаменты-студия,1,5,45500
37,4,ped,33.0,квартира-студия,8,9,84000
38,11,ped,20.0,квартира-студия,14,25,38000
39,36,bus,15.0,квартира-студия,1,17,27000
40,13,ped,28.0,апартаменты-студия,1,3,44000
41,4,ped,15.0,апартаменты-студия,1,3,56500
42,5,ped,25.0,квартира-студия,8,30,54500
43,5,ped,18.5,апартаменты-студия,4,10,54500
44,11,ped,35.0,апартаменты-студия,8,12,60000
45,28,bus,28.0,квартира-студия,2,16,29000
46,6,ped,25.0,квартира-студия,14,25,35000
47,3,ped,38.0,апартаменты-студия,11,12,102000
48,13,ped,25.7,квартира-студия,9,33,46000
49,8,ped,30.0,квартира-студия,4,5,65000
50,5,ped,32.0,квартира-студия,3,9,90000
51,14,ped,18.0,апартаменты-студия,4,4,60000
52,21,bus,25.3,квартира-студия,10,22,25000
53,23,bus,30.0,квартира-студия,10,22,28000
54,22,ped,34.0,квартира-студия,6,22,42000
55,5,ped,26.0,квартира-студия,6,30,56500
56,12,ped,32.0,квартира-студия,1,16,44000
57,16,bus,27.0,квартира-студия,8,14,39000
58,11,ped,18.0,апартаменты-студия,5,24,60000
59,15,ped,21.0,квартира-студия,22,25,40000
60,20,bus,26.0,квартира-студия,4,17,33000
61,8,ped,25.0,квартира-студия,1,6,87000
62,10,ped,18.0,апартаменты-студия,2,2,64000
63,14,ped,23.0,квартира-студия,2,16,60000
64,13,ped,30.0,апартаменты-студия,3,20,92000
65,9,ped,22.0,квартира-студия,14,18,46000
66,5,ped,30.0,квартира-студия,30,30,76000
67,11,ped,18.2,апартаменты-студия,10,14,42000
68,5,ped,19.0,апартаменты-студия,9,10,60000
69,12,ped,25.0,апартаменты-студия,2,7,66500
70,10,bus,19.0,квартира-студия,2,11,33000
71,13,ped,24.1,апартаменты-студия,11,22,54500
72,8,ped,45.0,квартира-студия,6,7,81500
73,10,ped,30.0,апартаменты-студия,8,24,56700
74,17,ped,14.0,апартаменты-студия,2,3,32000
75,12,ped,25.0,апартаменты-студия,2,7,66500
76,13,ped,46.1,апартаменты-студия,10,28,73200
77,19,ped,25.5,квартира-студия,4,4,35000
78,13,ped,18.0,квартира-студия,2,9,48000
79,1,ped,29.0,апартаменты-студия,22,25,66000
80,13,ped,30.5,апартаменты-студия,13,28,67400
81,13,ped,29.9,апартаменты-студия,11,13,68500
82,13,ped,45.7,апартаменты-студия,12,28,80500
83,17,ped,34.0,апартаменты-студия,3,10,76000
84,1,ped,26.0,апартаменты-студия,21,24,65000
85,9,ped,70.0,квартира-студия,5,11,250000
86,1,ped,27.0,апартаменты-студия,10,25,78000
87,1,ped,60.0,квартира-студия,6,20,90000
88,16,ped,46.0,квартира-студия,2,11,200000
89,5,ped,60.0,квартира-студия,2,3,140000
90,4,ped,115.0,квартира-студия,5,10,400000
91,1,ped,20.0,апартаменты-студия,17,25,66000
92,10,ped,27.0,апартаменты-студия,5,20,56700
93,10,ped,20.0,квартира-студия,3,15,29000
94,9,ped,25.0,квартира-студия,11,24,42000
95,13,ped,15.0,квартира-студия,2,9,42000
96,10,ped,42.0,апартаменты-студия,10,24,70200
97,28,bus,28.0,квартира-студия,2,16,29000
98,14,bus,24.0,квартира-студия,9,9,32000
99,9,ped,63.0,апартаменты-студия,2,13,200000
